Product Name,Price,Original Price,Discount,Rating,Reviews,Product URL,Image URL
"OPPO Find X9 Ultra (Tundra Umber, 512 GB)","₹1,69,999","₹2,49,999","32% off","5","5 Ratings","https://www.flipkart.com/oppo-find-x9-ultra-tundra-umber-512-gb/p/itma944cf479f633?pid=MOBHN7ZWPSTMNWUR&lid=LSTMOBHN7ZWPSTMNWUR28VZAZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_108&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBHN7ZWPSTMNWUR.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/u/3/-original-imahnhztf36wwkgs.jpeg?q=70"
"POCO X8 Pro (Black, 256 GB)","₹34,999","₹50,999","31% off","4.4","2,078 Ratings","https://www.flipkart.com/poco-x8-pro-black-256-gb/p/itmfbd9f2b2c7db9?pid=MOBHMGG5WYZAECZY&lid=LSTMOBHMGG5WYZAECZYYOYMMT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f349873d-de9e-434d-94a0-2238bcd842a1.MOBHMGG5WYZAECZY.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/f/r/-original-imahmqgaggagex35.jpeg?q=70"
"POCO X8 Pro (Green, 256 GB)","₹34,999","₹50,999","31% off","4.4","2,078 Ratings","https://www.flipkart.com/poco-x8-pro-green-256-gb/p/itme72bf861a71d4?pid=MOBHMGG5ME9NGD5C&lid=LSTMOBHMGG5ME9NGD5CMLGYZL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f349873d-de9e-434d-94a0-2238bcd842a1.MOBHMGG5ME9NGD5C.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/x/d/-original-imahmqgaxwkyudgk.jpeg?q=70"
"POCO X8 Pro (White, 256 GB)","₹34,999","₹50,999","31% off","4.4","2,078 Ratings","https://www.flipkart.com/poco-x8-pro-white-256-gb/p/itmaa692ca8a3b36?pid=MOBHMGG5QFZXHVAH&lid=LSTMOBHMGG5QFZXHVAH0PJMVC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_48&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f349873d-de9e-434d-94a0-2238bcd842a1.MOBHMGG5QFZXHVAH.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/z/e/-original-imahmqga2gftjkdu.jpeg?q=70"
"OPPO F33 Pro 5G (Starry Blue, 256 GB)","₹40,499","₹58,999","31% off","4.3","80 Ratings","https://www.flipkart.com/oppo-f33-pro-5g-starry-blue-256-gb/p/itme0e9af182d309?pid=MOBHM48FAF6WCCDN&lid=LSTMOBHM48FAF6WCCDNTJWRWG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_93&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHM48FAF6WCCDN.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/v/q/-original-imahmgg8yybhxyjz.jpeg?q=70"
"Infinix Zero Flip 5G (Rock Black, 512 GB)","₹54,999","₹79,999","31% off","4.2","320 Ratings","https://www.flipkart.com/infinix-zero-flip-5g-rock-black-512-gb/p/itmb0bc78f50baa0?pid=MOBH5F3GZV6WYYAK&lid=LSTMOBH5F3GZV6WYYAKHDELV1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBH5F3GZV6WYYAK.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/h/z/zero-flip-5g-x6962-infinix-original-imah5ztehzcs3hnh.jpeg?q=70"
"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)","₹36,929","₹53,999","31% off","4.4","5,336 Ratings","https://www.flipkart.com/oppo-reno-12-pro-5g-sunset-gold-256-gb/p/itmed01efe011f83?pid=MOBH2AHZWGRHRJYD&lid=LSTMOBH2AHZWGRHRJYDB2ZFC1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_105&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBH2AHZWGRHRJYD.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/v/p/-original-imah3cmbhgfymupr.jpeg?q=70"
"Apple iPhone 6 Plus (Silver, 64 GB)","₹48,999","₹71,500","31% off","4.5","1,661 Ratings","https://www.flipkart.com/apple-iphone-6-plus-silver-64-gb/p/itmefjg7zpzfgb3c?pid=MOBEYHZ28ZYTRJYM&lid=LSTMOBEYHZ28ZYTRJYM7U1VJ8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_106&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=1c60518b-2b16-443c-b5cb-650c402af52e.MOBEYHZ28ZYTRJYM.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/mobile/m/q/k/apple-iphone-6-plus-original-imaeymdqartzwz76.jpeg?q=70"
"POCO C85 5G (Mystic Purple, 128 GB)","₹14,499","₹20,999","30% off","3.8","1,576 Ratings","https://www.flipkart.com/poco-c85-5g-mystic-purple-128-gb/p/itm74e2143a5de24?pid=MOBHMGG5UZHEVJBK&lid=LSTMOBHMGG5UZHEVJBK4YXSTE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHMGG5UZHEVJBK.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/b/b/-original-imahmqgaez6anq7z.jpeg?q=70"
"POCO C85 5G (Power Black, 128 GB)","₹14,499","₹20,999","30% off","3.8","1,576 Ratings","https://www.flipkart.com/poco-c85-5g-power-black-128-gb/p/itm1f62dee4df0ad?pid=MOBHMGG5DNYPWU9Q&lid=LSTMOBHMGG5DNYPWU9QRQJHJO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHMGG5DNYPWU9Q.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/9/o/-original-imahmqgajfkgzujf.jpeg?q=70"
